,Reaction_original_index,substrate,substrate_id,boronreagent,boronreagent_id,ligand,ligand_id,axial_chirality,yield,%top
504,1915,O=C1C=CCCC1,0,CCCCC/C=C/B1Oc2ccccc2O1,96,C12=CC=CC=C1C=CC(P(C3=CC=CC=C3)C4=CC=CC=C4)=C2C5=C(C=CC=C6)C6=CC=C5P(C7=CC=CC=C7)C8=CC=CC=C8,L1.18,S,85.0,97.5
505,1916,O=C1C=CCCC1,0,CCCCC/C=C/B1Oc2ccccc2O1,96,C12=CC=CC=C1C=CC(P(C3=CC=CC=C3)C4=CC=CC=C4)=C2C5=C(C=CC=C6)C6=CC=C5P(C7=CC=CC=C7)C8=CC=CC=C8,L1.18,S,29.0,97.0
506,1917,O=C1C=CCCC1,0,CCCCC/C=C/B1Oc2ccccc2O1,96,C12=CC=CC=C1C=CC(P(C3=CC=CC=C3)C4=CC=CC=C4)=C2C5=C(C=CC=C6)C6=CC=C5P(C7=CC=CC=C7)C8=CC=CC=C8,L1.18,S,26.0,97.0
507,1918,O=C1C=CCCC1,0,CCCCCC/C=C/B(O)O,101,C12C(OCC2)C=CC(P(C3=CC=CC=C3)C4=CC=CC=C4)=C1C5=C(OCC6)C6=CC=C5P(C7=CC=CC=C7)C8=CC=CC=C8,L1.30,S,79.0,96.5
508,1929,O=C1C=CCCC1,0,OB(O)/C=C/c1ccccc1,89,C12C(OCC2)C=CC(P(C3=CC=CC=C3)C4=CC=CC=C4)=C1C5=C(OCC6)C6=CC=C5P(C7=CC=CC=C7)C8=CC=CC=C8,L1.30,S,78.0,94.5
509,1930,O=C1C=CCCC1,0,C(=C/c1ccccc1)\B1Oc2ccccc2O1,102,C12=CC=CC=C1C=CC(P(C3=CC=CC=C3)C4=CC=CC=C4)=C2C5=C(C=CC=C6)C6=CC=C5P(C7=CC=CC=C7)C8=CC=CC=C8,L1.18,S,76.0,96.0
510,1934,O=C1C=CCCC1,0,Cc1ccc(/C=C/[B-](F)(F)F)cc1.[K+],104,C12=CC=CC=C1C=CC(P(C3=CC=CC=C3)C4=CC=CC=C4)=C2C5=C(C=CC=C6)C6=CC=C5P(C7=CC=CC=C7)C8=CC=CC=C8,L1.1,R,93.0,2.5
511,1935,CC(=O)/C=C/C(C)C,12,CCCCC/C=C/B1Oc2ccccc2O1,96,C12=CC=CC=C1C=CC(P(C3=CC=CC=C3)C4=CC=CC=C4)=C2C5=C(C=CC=C6)C6=CC=C5P(C7=CC=CC=C7)C8=CC=CC=C8,L1.18,S,68.0,90.5
512,1938,O=C1C=CCCCC1,15,C=C(C)[B-](F)(F)F.[K+],90,C12=CC=CC=C1C=CC(P(C3=CC=CC=C3)C4=CC=CC=C4)=C2C5=C(C=CC=C6)C6=CC=C5P(C7=CC=CC=C7)C8=CC=CC=C8,L1.18,S,89.0,99.0
513,1943,O=C1C=CCCCC1,15,Cc1ccc(/C=C/B(O)O)cc1,106,C12=CC=CC=C1C=CC(P(C3=CC=CC=C3)C4=CC=CC=C4)=C2C5=C(C=CC=C6)C6=CC=C5P(C7=CC=CC=C7)C8=CC=CC=C8,L1.1,R,70.0,2.5
514,1944,CCCCC/C=C/C(C)=O,19,C=C(C)[B-](F)(F)F.[K+],90,C12=CC=CC=C1C=CC(P(C3=CC=CC=C3)C4=CC=CC=C4)=C2C5=C(C=CC=C6)C6=CC=C5P(C7=CC=CC=C7)C8=CC=CC=C8,L1.18,S,89.0,50.0
515,1945,O=C(/C=C/C(F)(F)F)c1ccccc1,41,OB(O)/C=C/c1ccccc1,89,C12=CC=CC=C1C=CC(P(C3=CC=CC=C3)C4=CC=CC=C4)=C2C5=C(C=CC=C6)C6=CC=C5P(C7=CC=CC=C7)C8=CC=CC=C8,L1.18,S,70.0,70.0
516,1949,CC(=O)/C=C/c1ccc2c(c1)OCO2,83,CO[C@H](C/C=C/[B-](F)(F)F)c1ccccc1.[K+],105,C12=CC=CC=C1C=CC(P(C3=CC=CC=C3)C4=CC=CC=C4)=C2C5=C(C=CC=C6)C6=CC=C5P(C7=CC=CC=C7)C8=CC=CC=C8,L1.1,R,62.0,13.0
517,1950,CC(=O)/C=C/c1ccc2c(c1)OCO2,83,CO[C@H](C/C=C/[B-](F)(F)F)c1ccccc1.[K+],105,CC(C=C1)=CC=C1P(C2=CC=C(C)C=C2)C3=CC=C4C(C=CC=C4)=C3C5=C(P(C6=CC=C(C)C=C6)C7=CC=C(C)C=C7)C=CC8=CC=CC=C85,L1.3,R,53.0,85.0
518,1951,CC(=O)/C=C/c1ccc2c(c1)OCO2,83,CO[C@H](C/C=C/[B-](F)(F)F)c1ccccc1.[K+],105,CC1=CC(P(C2=CC(C)=CC(C)=C2)C3=C(C4=C(C=CC=C5)C5=CC=C4P(C6=CC(C)=CC(C)=C6)C7=CC(C)=CC(C)=C7)C8=CC=CC=C8C=C3)=CC(C)=C1,L1.4,R,58.0,82.0
519,1952,CC(=O)/C=C/c1ccc2c(c1)OCO2,83,CO[C@H](C/C=C/[B-](F)(F)F)c1ccccc1.[K+],105,C12=CC=CC=C1C=CC(P(C3=CC=CC=C3)C4=CC=CC=C4)=C2C5=C(C=CC=C6)C6=CC=C5P(C7=CC=CC=C7)C8=CC=CC=C8,L1.18,S,62.0,87.0
520,1953,CC(=O)/C=C/c1ccc2c(c1)OCO2,83,CO[C@H](C/C=C/[B-](F)(F)F)c1ccccc1.[K+],105,FC(O1)(F)OC2C1C(C3=C(OC(F)(F)O4)C4=CC=C3P(C5=CC=CC=C5)C6=CC=CC=C6)=C(P(C7=CC=CC=C7)C8=CC=CC=C8)C=C2,L1.28,R,41.0,87.0
521,1954,CC(=O)/C=C/c1ccc2c(c1)OCO2,83,CO[C@H](C/C=C/[B-](F)(F)F)c1ccccc1.[K+],105,C1(C(C2=C(OCCO3)C3=CC=C2P(C4=CC=CC=C4)C5=CC=CC=C5)=C(P(C6=CC=CC=C6)C7=CC=CC=C7)C=C8)C8OCCO1,L1.31,R,43.0,89.0
522,1955,CC(=O)/C=C/c1ccc2c(c1)OCO2,83,CO[C@H](C/C=C/[B-](F)(F)F)c1ccccc1.[K+],105,C[C@@H]1CC[C@@H](C)P1C2=CC=CC=C2P3[C@H](C)CC[C@H]3C,L1.59,NoChiralAxis,24.0,52.0
523,1963,COc1ccc2c(c1)C(=O)C=CC21OCCO1,84,C=C(C)[B-](F)(F)F.[K+],90,C12=CC=CC=C1C=CC(P(C3=CC=CC=C3)C4=CC=CC=C4)=C2C5=C(C=CC=C6)C6=CC=C5P(C7=CC=CC=C7)C8=CC=CC=C8,L1.18,S,7.0,50.0
524,1964,COc1ccc2c(c1)C(=O)C=CC21OCCO1,84,C=C(C)[B-](F)(F)F.[K+],90,C12=CC=CC=C1C=CC(P(C3=CC=CC=C3)C4=CC=CC=C4)=C2C5=C(C=CC=C6)C6=CC=C5P(C7=CC=CC=C7)C8=CC=CC=C8,L1.18,S,45.0,98.0
525,1965,COc1ccc2c(c1)C(=O)C=CC21OCCO1,84,C=C(C)[B-](F)(F)F.[K+],90,C12=CC=CC=C1C=CC(P(C3=CC=CC=C3)C4=CC=CC=C4)=C2C5=C(C=CC=C6)C6=CC=C5P(C7=CC=CC=C7)C8=CC=CC=C8,L1.18,S,96.0,97.0
